Info: *******************************************************************
Info: Running Quartus Prime Timing Analyzer
    Info: Version 20.1.1 Build 720 11/11/2020 SJ Standard Edition
    Info: Copyright (C) 2020  Intel Corporation. All rights reserved.
    Info: Your use of Intel Corporation's design tools, logic functions 
    Info: and other software and tools, and any partner logic 
    Info: functions, and any output files from any of the foregoing 
    Info: (including device programming or simulation files), and any 
    Info: associated documentation or information are expressly subject 
    Info: to the terms and conditions of the Intel Program License 
    Info: Subscription Agreement, the Intel Quartus Prime License Agreement,
    Info: the Intel FPGA IP License Agreement, or other applicable license
    Info: agreement, including, without limitation, that your use is for
    Info: the sole purpose of programming logic devices manufactured by
    Info: Intel and sold by Intel or its authorized distributors.  Please
    Info: refer to the applicable agreement for further details, at
    Info: https://fpgasoftware.intel.com/eula.
    Info: Processing started: Mon Apr 28 16:17:27 2025
Info: Command: quartus_sta --sdc=toolflow.sdc toolflow --do_report_timing
Info: qsta_default_script.tcl version: #1
Warning (18236): Number of processors has not been specified which may cause overloading on shared machines.  Set the global assignment NUM_PARALLEL_PROCESSORS in your QSF to an appropriate value for best performance.
Info (20030): Parallel compilation is enabled and will use 12 of the 12 processors detected
Info (21076): High junction temperature operating condition is not set. Assuming a default value of '85'.
Info (21076): Low junction temperature operating condition is not set. Assuming a default value of '0'.
Info (332104): Reading SDC File: 'toolflow.sdc'
Info: Found TIMING_ANALYZER_REPORT_SCRIPT_INCLUDE_DEFAULT_ANALYSIS = ON
Info: Analyzing Slow 1200mV 85C Model
Critical Warning (332148): Timing requirements not met
    Info (11105): For recommendations on closing timing, run Report Timing Closure Recommendations in the Timing Analyzer.
Info (332146): Worst-case setup slack is -1.112
    Info (332119):     Slack       End Point TNS Clock 
    Info (332119): ========= =================== =====================
    Info (332119):    -1.112              -4.536 iCLK 
Info (332146): Worst-case hold slack is 0.407
    Info (332119):     Slack       End Point TNS Clock 
    Info (332119): ========= =================== =====================
    Info (332119):     0.407               0.000 iCLK 
Info (332146): Worst-case recovery slack is 0.848
    Info (332119):     Slack       End Point TNS Clock 
    Info (332119): ========= =================== =====================
    Info (332119):     0.848               0.000 iCLK 
Info (332146): Worst-case removal slack is 1.790
    Info (332119):     Slack       End Point TNS Clock 
    Info (332119): ========= =================== =====================
    Info (332119):     1.790               0.000 iCLK 
Info (332146): Worst-case minimum pulse width slack is 9.624
    Info (332119):     Slack       End Point TNS Clock 
    Info (332119): ========= =================== =====================
    Info (332119):     9.624               0.000 iCLK 
Info (332114): Report Metastability: Found 2 synchronizer chains.
    Info (332114): The design MTBF is not calculated because there are no specified synchronizers in the design.
    Info (332114): Number of Synchronizer Chains Found: 2
    Info (332114): Shortest Synchronizer Chain: 2 Registers
    Info (332114): Fraction of Chains for which MTBFs Could Not be Calculated: 1.000
    Info (332114): Worst Case Available Settling Time: 37.352 ns
Info (332115): Report Timing: Found 1 setup paths (1 violated).  Worst case slack is -1.112
    Info (332115): -to_clock [get_clocks {iCLK}]
    Info (332115): -setup
    Info (332115): -stdout
Info (332115): Path #1: Setup slack is -1.112 (VIOLATED)
    Info (332115): ===================================================================
    Info (332115): From Node    : mem:DMem|altsyncram:ram_rtl_0|altsyncram_eg81:auto_generated|ram_block1a0~porta_we_reg
    Info (332115): To Node      : Pipeline_EX_MEM:EX_MEM_reg|reg_N:ALUout|dffg:\n_loop:31:d_flip_flop|s_Q
    Info (332115): Launch Clock : iCLK
    Info (332115): Latch Clock  : iCLK
    Info (332115): Data Arrival Path:
    Info (332115): Total (ns)  Incr (ns)     Type  Element
    Info (332115): ==========  ========= ==  ====  ===================================
    Info (332115):      0.000      0.000           launch edge time
    Info (332115):     19.365      0.251 FF    IC  ALU|adder|adder|\N_loop:20:full_add|o_C~0|datad
    Info (332115):     19.490      0.125 FF  CELL  ALU|adder|adder|\N_loop:20:full_add|o_C~0|combout
    Info (332115):     19.740      0.250 FF    IC  ALU|adder|adder|\N_loop:21:full_add|o_C~0|datad
    Info (332115):     19.865      0.125 FF  CELL  ALU|adder|adder|\N_loop:21:full_add|o_C~0|combout
    Info (332115):     20.114      0.249 FF    IC  ALU|adder|adder|\N_loop:22:full_add|o_C~0|datad
    Info (332115):     20.239      0.125 FF  CELL  ALU|adder|adder|\N_loop:22:full_add|o_C~0|combout
    Info (332115):     20.489      0.250 FF    IC  ALU|adder|adder|\N_loop:23:full_add|o_C~0|datad
    Info (332115):     20.614      0.125 FF  CELL  ALU|adder|adder|\N_loop:23:full_add|o_C~0|combout
    Info (332115):     20.864      0.250 FF    IC  ALU|adder|adder|\N_loop:24:full_add|o_C~0|datad
    Info (332115):     20.989      0.125 FF  CELL  ALU|adder|adder|\N_loop:24:full_add|o_C~0|combout
    Info (332115):     21.248      0.259 FF    IC  ALU|adder|adder|\N_loop:25:full_add|o_C~0|datac
    Info (332115):     21.529      0.281 FF  CELL  ALU|adder|adder|\N_loop:25:full_add|o_C~0|combout
    Info (332115):     21.777      0.248 FF    IC  ALU|adder|adder|\N_loop:26:full_add|o_C~0|datad
    Info (332115):     21.902      0.125 FF  CELL  ALU|adder|adder|\N_loop:26:full_add|o_C~0|combout
    Info (332115):     22.154      0.252 FF    IC  ALU|adder|adder|\N_loop:27:full_add|o_C~0|datad
    Info (332115):     22.279      0.125 FF  CELL  ALU|adder|adder|\N_loop:27:full_add|o_C~0|combout
    Info (332115):     22.532      0.253 FF    IC  ALU|adder|adder|\N_loop:28:full_add|o_C~0|datad
    Info (332115):     22.657      0.125 FF  CELL  ALU|adder|adder|\N_loop:28:full_add|o_C~0|combout
    Info (332115):     22.905      0.248 FF    IC  ALU|adder|adder|\N_loop:29:full_add|o_C~0|datad
    Info (332115):     23.030      0.125 FF  CELL  ALU|adder|adder|\N_loop:29:full_add|o_C~0|combout
    Info (332115):     23.297      0.267 FF    IC  ALU|adder|adder|\N_loop:30:full_add|o_C~0|datac
    Info (332115):     23.578      0.281 FF  CELL  ALU|adder|adder|\N_loop:30:full_add|o_C~0|combout
    Info (332115):     24.267      0.689 FF    IC  ALU|mux|o_out[31]|datad
    Info (332115):     24.417      0.150 FR  CELL  ALU|mux|o_out[31]|combout
    Info (332115):     24.417      0.000 RR    IC  EX_MEM_reg|ALUout|\n_loop:31:d_flip_flop|s_Q|d
    Info (332115):     24.504      0.087 RR  CELL  Pipeline_EX_MEM:EX_MEM_reg|reg_N:ALUout|dffg:\n_loop:31:d_flip_flop|s_Q
    Info (332115): Data Required Path:
    Info (332115): Total (ns)  Incr (ns)     Type  Element
    Info (332115): ==========  ========= ==  ====  ===================================
    Info (332115):     20.000     20.000           latch edge time
    Info (332115):     23.386      3.386  R        clock network delay
    Info (332115):     23.394      0.008           clock pessimism removed
    Info (332115):     23.374     -0.020           clock uncertainty
    Info (332115):     23.392      0.018     uTsu  Pipeline_EX_MEM:EX_MEM_reg|reg_N:ALUout|dffg:\n_loop:31:d_flip_flop|s_Q
    Info (332115): Data Arrival Time  :    24.504
    Info (332115): Data Required Time :    23.392
    Info (332115): Slack              :    -1.112 (VIOLATED)
    Info (332115): ===================================================================
Info (332115): Report Timing: Found 1 hold paths (0 violated).  Worst case slack is 0.407
    Info (332115): -to_clock [get_clocks {iCLK}]
    Info (332115): -hold
    Info (332115): -stdout
Info (332115): Path #1: Hold slack is 0.407 
    Info (332115): ===================================================================
    Info (332115): From Node    : PC_reg:PC|dffg:\n_loop:2:d_flip_flop|s_Q
    Info (332115): To Node      : PC_reg:PC|dffg:\n_loop:2:d_flip_flop|s_Q
    Info (332115): Launch Clock : iCLK
    Info (332115): Latch Clock  : iCLK
    Info (332115): Data Arrival Path:
    Info (332115): Total (ns)  Incr (ns)     Type  Element
    Info (332115): ==========  ========= ==  ====  ===================================
    Info (332115):      0.000      0.000           launch edge time
    Info (332115):      2.982      2.982  R        clock network delay
    Info (332115):      3.214      0.232     uTco  PC_reg:PC|dffg:\n_loop:2:d_flip_flop|s_Q
    Info (332115):      3.214      0.000 FF  CELL  PC|\n_loop:2:d_flip_flop|s_Q|q
    Info (332115):      3.214      0.000 FF    IC  PC|s_data[2]~1|datac
    Info (332115):      3.587      0.373 FR  CELL  PC|s_data[2]~1|combout
    Info (332115):      3.587      0.000 RR    IC  PC|\n_loop:2:d_flip_flop|s_Q|d
    Info (332115):      3.656      0.069 RR  CELL  PC_reg:PC|dffg:\n_loop:2:d_flip_flop|s_Q
    Info (332115): Data Required Path:
    Info (332115): Total (ns)  Incr (ns)     Type  Element
    Info (332115): ==========  ========= ==  ====  ===================================
    Info (332115):      0.000      0.000           latch edge time
    Info (332115):      3.095      3.095  R        clock network delay
    Info (332115):      3.063     -0.032           clock pessimism removed
    Info (332115):      3.063      0.000           clock uncertainty
    Info (332115):      3.249      0.186      uTh  PC_reg:PC|dffg:\n_loop:2:d_flip_flop|s_Q
    Info (332115): Data Arrival Time  :     3.656
    Info (332115): Data Required Time :     3.249
    Info (332115): Slack              :     0.407 
    Info (332115): ===================================================================
Info (332115): Report Timing: Found 1 recovery paths (0 violated).  Worst case slack is 0.848
    Info (332115): -to_clock [get_clocks {iCLK}]
    Info (332115): -recovery
    Info (332115): -stdout
Info (332115): Path #1: Recovery slack is 0.848 
    Info (332115): ===================================================================
    Info (332115): From Node    : mem:DMem|altsyncram:ram_rtl_0|altsyncram_eg81:auto_generated|ram_block1a0~porta_we_reg
    Info (332115): To Node      : Pipeline_IF_ID:IF_ID_reg|reg_N:reg1|dffg:\n_loop:6:d_flip_flop|s_Q
    Info (332115): Launch Clock : iCLK
    Info (332115): Latch Clock  : iCLK
    Info (332115): Data Arrival Path:
    Info (332115): Total (ns)  Incr (ns)     Type  Element
    Info (332115): ==========  ========= ==  ====  ===================================
    Info (332115):      0.000      0.000           launch edge time
    Info (332115):      3.430      3.430  R        clock network delay
    Info (332115):      3.693      0.263     uTco  mem:DMem|altsyncram:ram_rtl_0|altsyncram_eg81:auto_generated|ram_block1a0~porta_we_reg
    Info (332115):      6.542      2.849 FR  CELL  DMem|ram_rtl_0|auto_generated|ram_block1a0|portadataout[1]
    Info (332115):      7.282      0.740 RR    IC  DMem|ram~46|datad
    Info (332115):      7.437      0.155 RR  CELL  DMem|ram~46|combout
    Info (332115):      7.696      0.259 RR    IC  byteSelect|o_O[7]~0|dataa
    Info (332115):      8.113      0.417 RR  CELL  byteSelect|o_O[7]~0|combout
    Info (332115):      8.318      0.205 RR    IC  byteSelect|o_O[7]~1|datad
    Info (332115):      8.457      0.139 RF  CELL  byteSelect|o_O[7]~1|combout
    Info (332115):      8.716      0.259 FF    IC  memToRegMux|o_O~0|datad
    Info (332115):      8.841      0.125 FF  CELL  memToRegMux|o_O~0|combout
    Info (332115):      9.615      0.774 FF    IC  luiMux|o_O[18]~48|datac
    Info (332115):      9.895      0.280 FF  CELL  luiMux|o_O[18]~48|combout
    Info (332115):     10.124      0.229 FF    IC  luiMux|o_O[18]~49|datad
    Info (332115):     10.249      0.125 FF  CELL  luiMux|o_O[18]~49|combout
    Info (332115):     11.832      1.583 FF    IC  reg_file|reg12|o_output[18]~11|dataa
    Info (332115):     12.186      0.354 FF  CELL  reg_file|reg12|o_output[18]~11|combout
    Info (332115):     12.477      0.291 FF    IC  ForwardRs|o_O[18]~401|dataa
    Info (332115):     12.845      0.368 FF  CELL  ForwardRs|o_O[18]~401|combout
    Info (332115):     13.541      0.696 FF    IC  ForwardRs|o_O[18]~402|datac
    Info (332115):     13.801      0.260 FR  CELL  ForwardRs|o_O[18]~402|combout
    Info (332115):     14.003      0.202 RR    IC  ForwardRs|o_O[18]~403|datac
    Info (332115):     14.290      0.287 RR  CELL  ForwardRs|o_O[18]~403|combout
    Info (332115):     15.519      1.229 RR    IC  ForwardRs|o_O[18]~404|datad
    Info (332115):     15.658      0.139 RF  CELL  ForwardRs|o_O[18]~404|combout
    Info (332115):     15.927      0.269 FF    IC  ForwardRs|o_O[18]~420|datab
    Info (332115):     16.352      0.425 FF  CELL  ForwardRs|o_O[18]~420|combout
    Info (332115):     16.579      0.227 FF    IC  ForwardRs|o_O[18]~421|datad
    Info (332115):     16.704      0.125 FF  CELL  ForwardRs|o_O[18]~421|combout
    Info (332115):     17.327      0.623 FF    IC  ForwardRs|o_O[18]~422|datad
    Info (332115):     17.477      0.150 FR  CELL  ForwardRs|o_O[18]~422|combout
    Info (332115):     17.735      0.258 RR    IC  Equal0~1|datab
    Info (332115):     18.167      0.432 RF  CELL  Equal0~1|combout
    Info (332115):     18.437      0.270 FF    IC  Equal0~4|datab
    Info (332115):     18.787      0.350 FF  CELL  Equal0~4|combout
    Info (332115):     19.262      0.475 FF    IC  Equal0~20|dataa
    Info (332115):     19.615      0.353 FF  CELL  Equal0~20|combout
    Info (332115):     19.842      0.227 FF    IC  IF_ID_reg|s_reset~0|datad
    Info (332115):     19.967      0.125 FF  CELL  IF_ID_reg|s_reset~0|combout
    Info (332115):     20.218      0.251 FF    IC  IF_ID_reg|s_reset~1|datad
    Info (332115):     20.368      0.150 FR  CELL  IF_ID_reg|s_reset~1|combout
    Info (332115):     21.370      1.002 RR    IC  IF_ID_reg|reg1|\n_loop:6:d_flip_flop|s_Q|clrn
    Info (332115):     22.139      0.769 RF  CELL  Pipeline_IF_ID:IF_ID_reg|reg_N:reg1|dffg:\n_loop:6:d_flip_flop|s_Q
    Info (332115): Data Required Path:
    Info (332115): Total (ns)  Incr (ns)     Type  Element
    Info (332115): ==========  ========= ==  ====  ===================================
    Info (332115):     20.000     20.000           latch edge time
    Info (332115):     22.981      2.981  R        clock network delay
    Info (332115):     22.989      0.008           clock pessimism removed
    Info (332115):     22.969     -0.020           clock uncertainty
    Info (332115):     22.987      0.018     uTsu  Pipeline_IF_ID:IF_ID_reg|reg_N:reg1|dffg:\n_loop:6:d_flip_flop|s_Q
    Info (332115): Data Arrival Time  :    22.139
    Info (332115): Data Required Time :    22.987
    Info (332115): Slack              :     0.848 
    Info (332115): ===================================================================
Info (332115): Report Timing: Found 1 removal paths (0 violated).  Worst case slack is 1.790
    Info (332115): -to_clock [get_clocks {iCLK}]
    Info (332115): -removal
    Info (332115): -stdout
Info (332115): Path #1: Removal slack is 1.790 
    Info (332115): ===================================================================
    Info (332115): From Node    : iCLK
    Info (332115): To Node      : Pipeline_EX_MEM:EX_MEM_reg|reg_N:PCAdd4|dffg:\n_loop:4:d_flip_flop|s_Q
    Info (332115): Launch Clock : iCLK
    Info (332115): Latch Clock  : iCLK
    Info (332115): Data Arrival Path:
    Info (332115): Total (ns)  Incr (ns)     Type  Element
    Info (332115): ==========  ========= ==  ====  ===================================
    Info (332115):      0.000      0.000           launch edge time
    Info (332115):      0.000      0.000  R        clock network delay
    Info (332115):      0.000      0.000  R        iCLK
    Info (332115):      0.000      0.000 RR    IC  iCLK~input|i
    Info (332115):      0.730      0.730 RR  CELL  iCLK~input|o
    Info (332115):      3.742      3.012 RR    IC  EX_MEM_reg|s_reset|dataa
    Info (332115):      4.123      0.381 RR  CELL  EX_MEM_reg|s_reset|combout
    Info (332115):      4.347      0.224 RR    IC  EX_MEM_reg|PCAdd4|\n_loop:4:d_flip_flop|s_Q|clrn
    Info (332115):      5.076      0.729 RF  CELL  Pipeline_EX_MEM:EX_MEM_reg|reg_N:PCAdd4|dffg:\n_loop:4:d_flip_flop|s_Q
    Info (332115): Data Required Path:
    Info (332115): Total (ns)  Incr (ns)     Type  Element
    Info (332115): ==========  ========= ==  ====  ===================================
    Info (332115):      0.000      0.000           latch edge time
    Info (332115):      3.100      3.100  R        clock network delay
    Info (332115):      3.100      0.000           clock uncertainty
    Info (332115):      3.286      0.186      uTh  Pipeline_EX_MEM:EX_MEM_reg|reg_N:PCAdd4|dffg:\n_loop:4:d_flip_flop|s_Q
    Info (332115): Data Arrival Time  :     5.076
    Info (332115): Data Required Time :     3.286
    Info (332115): Slack              :     1.790 
    Info (332115): ===================================================================
Info: Analyzing Slow 1200mV 0C Model
Info (334003): Started post-fitting delay annotation
Info (334004): Delay annotation completed successfully
Info (332146): Worst-case setup slack is 0.550
    Info (332119):     Slack       End Point TNS Clock 
    Info (332119): ========= =================== =====================
    Info (332119):     0.550               0.000 iCLK 
Info (332146): Worst-case hold slack is 0.365
    Info (332119):     Slack       End Point TNS Clock 
    Info (332119): ========= =================== =====================
    Info (332119):     0.365               0.000 iCLK 
Info (332146): Worst-case recovery slack is 2.396
    Info (332119):     Slack       End Point TNS Clock 
    Info (332119): ========= =================== =====================
    Info (332119):     2.396               0.000 iCLK 
Info (332146): Worst-case removal slack is 1.629
    Info (332119):     Slack       End Point TNS Clock 
    Info (332119): ========= =================== =====================
    Info (332119):     1.629               0.000 iCLK 
Info (332146): Worst-case minimum pulse width slack is 9.648
    Info (332119):     Slack       End Point TNS Clock 
    Info (332119): ========= =================== =====================
    Info (332119):     9.648               0.000 iCLK 
Info (332114): Report Metastability: Found 2 synchronizer chains.
    Info (332114): The design MTBF is not calculated because there are no specified synchronizers in the design.
    Info (332114): Number of Synchronizer Chains Found: 2
    Info (332114): Shortest Synchronizer Chain: 2 Registers
    Info (332114): Fraction of Chains for which MTBFs Could Not be Calculated: 1.000
    Info (332114): Worst Case Available Settling Time: 37.610 ns
Info (332115): Report Timing: Found 1 setup paths (0 violated).  Worst case slack is 0.550
    Info (332115): -to_clock [get_clocks {iCLK}]
    Info (332115): -setup
    Info (332115): -stdout
Info (332115): Path #1: Setup slack is 0.550 
    Info (332115): ===================================================================
    Info (332115): From Node    : mem:DMem|altsyncram:ram_rtl_0|altsyncram_eg81:auto_generated|ram_block1a0~porta_we_reg
    Info (332115): To Node      : Pipeline_EX_MEM:EX_MEM_reg|reg_N:ALUout|dffg:\n_loop:31:d_flip_flop|s_Q
    Info (332115): Launch Clock : iCLK
    Info (332115): Latch Clock  : iCLK
    Info (332115): Data Arrival Path:
    Info (332115): Total (ns)  Incr (ns)     Type  Element
    Info (332115): ==========  ========= ==  ====  ===================================
    Info (332115):      0.000      0.000           launch edge time
    Info (332115):      3.110      3.110  R        clock network delay
    Info (332115):      3.346      0.236     uTco  mem:DMem|altsyncram:ram_rtl_0|altsyncram_eg81:auto_generated|ram_block1a0~porta_we_reg
    Info (332115):      5.931      2.585 FR  CELL  DMem|ram_rtl_0|auto_generated|ram_block1a0|portadataout[0]
    Info (332115):      6.870      0.939 RR    IC  memToRegMux|o_O~3|datad
    Info (332115):      7.014      0.144 RR  CELL  memToRegMux|o_O~3|combout
    Info (332115):      7.203      0.189 RR    IC  memToRegMux|o_O~4|datad
    Info (332115):      7.347      0.144 RR  CELL  memToRegMux|o_O~4|combout
    Info (332115):      7.557      0.210 RR    IC  luiMux|o_O[0]~8|datad
    Info (332115):      7.701      0.144 RR  CELL  luiMux|o_O[0]~8|combout
    Info (332115):      7.918      0.217 RR    IC  ForwardAandStall|\G_NBit_MUX:0:MUXI|o_O~0|datad
